
a{1} @01n e= []
dE.dpu{1}{13}(22) @01d r= 0
dE.dpu{1}{13}(23) @01d r= 0
dE.dpu{1}{13}(24) @01d r= 0
dE.dpu{1}{13}(25) @01d r= 0
dE.dpu{1}{13}(3) @01d r= 0
dE.dpu{1}{13}(4) @01d r= 0
dE.dpu{1}{13}(5) @01d r= 0
dE.dpu{1}{13}(6) @01d r= 0
dE.dpu{1}{13}(7) @01d r= 0
dE.dpu{1}{13}(8) @01d r= 0
dE.dpu{1}{13}(9) @01d r= 0
dE.dpu{1}{2}(1) @01d r= 0
dE.dpu{1}{2}(10) @01d r= 0
dE.dpu{1}{2}(11) @01d r= 0
dE.dpu{1}{2}(12) @01d r= 0
dE.dpu{1}{2}(13) @01d r= 0
dE.dpu{1}{2}(14) @01d r= 0
dE.dpu{1}{2}(15) @01d r= 0
dE.dpu{1}{2}(16) @01d r= 0
dE.dpu{1}{2}(17) @01d f= 1.233213e-10
dE.dpu{1}{2}(17) @02d f= 1.005274e-03
dE.dpu{1}{2}(17) @03d f= 1.002582e-02
dE.dpu{1}{2}(17) @04d f= -1.009240e-04
dE.dpu{1}{2}(17) @05d f= 1.006131e-03
dE.dpu{1}{2}(17) @06d f= 1.012134e-02
dE.dpu{1}{2}(17) @07d f= -1.001459e-02
dE.dpu{1}{2}(17) @08d f= -1.000540e-02
dE.dpu{1}{2}(17) @09d f= 1.002331e-01
dE.dpu{1}{2}(17) @10d f= 1.003645e-01
dE.dpu{1}{2}(17) @11d f= 1.003645e-01
dE.dpu{1}{2}(17) @12d f= 1.003645e-01
dE.dpu{1}{2}(17) @13d f= 1.003645e-01
dE.dpu{1}{2}(17) @14d f= 1.003645e-01
dE.dpu{1}{2}(17) @15d f= 1.003645e-01
dE.dpu{1}{2}(17) @16d f= 1.003645e-01
dE.dpu{1}{2}(18) @01d r= 0
dE.dpu{1}{2}(19) @01d r= 0
dE.dpu{1}{2}(2) @01d r= 0
dE.dpu{1}{2}(20) @01d r= 0
dE.dpu{1}{2}(21) @01d r= 0
dE.dpu{1}{2}(22) @01d r= 0
dE.dpu{1}{2}(23) @01d r= 0
dE.dpu{1}{2}(24) @01d r= 0
dE.dpu{1}{2}(25) @01d r= 0
dE.dpu{1}{2}(3) @01d r= 0
dE.dpu{1}{2}(4) @01d r= 0
dE.dpu{1}{2}(5) @01d r= 0
dE.dpu{1}{2}(6) @01d r= 0
dE.dpu{1}{2}(7) @01d r= 0
dE.dpu{1}{2}(8) @01d r= 0
dE.dpu{1}{2}(9) @01d r= 0
dE.dpu{1}{3}(1) @01d r= 0
dE.dpu{1}{3}(10) @01d r= 0
dE.dpu{1}{3}(11) @01d r= 0
dE.dpu{1}{3}(12) @01d r= 0
dE.dpu{1}{3}(13) @01d r= 0
dE.dpu{1}{3}(14) @01d r= 0
dE.dpu{1}{3}(15) @01d r= 0
dE.dpu{1}{3}(16) @01d r= 0
dE.dpu{1}{3}(17) @01d r= 0
dE.dpu{1}{3}(18) @01d r= 0
dE.dpu{1}{3}(19) @01d f= 1.233110e-10
dE.dpu{1}{3}(19) @02d f= -1.000495e-02
dE.dpu{1}{3}(19) @03d f= -1.024211e-02
dE.dpu{1}{3}(19) @04d f= 1.011487e-02
dE.dpu{1}{3}(19) @05d f= 1.063734e-01
dE.dpu{1}{3}(19) @06d f= -1.002936e-01
dE.dpu{1}{3}(19) @07d f= 1.008098e-01
dE.dpu{1}{3}(19) @08d f= -1.001245e-01
dE.dpu{1}{3}(19) @09d f= -1.001675e-01
dE.dpu{1}{3}(19) @10d f= -1.001515e-01
dE.dpu{1}{3}(19) @11d f= -1.001515e-01
dE.dpu{1}{3}(19) @12d f= -1.001515e-01
dE.dpu{1}{3}(19) @13d f= -1.001515e-01
dE.dpu{1}{3}(19) @14d f= -1.001515e-01
dE.dpu{1}{3}(19) @15d f= -1.001515e-01
dE.dpu{1}{3}(19) @16d f= -1.001515e-01
dE.dpu{1}{3}(2) @01d r= 0
dE.dpu{1}{3}(20) @01d r= 0
dE.dpu{1}{3}(21) @01d r= 0
dE.dpu{1}{3}(22) @01d r= 0
dE.dpu{1}{3}(23) @01d r= 0
dE.dpu{1}{3}(24) @01d r= 0
dE.dpu{1}{3}(25) @01d r= 0
dE.dpu{1}{3}(3) @01d r= 0
dE.dpu{1}{3}(4) @01d r= 0
dE.dpu{1}{3}(5) @01d r= 0
dE.dpu{1}{3}(6) @01d r= 0
dE.dpu{1}{3}(7) @01d r= 0
dE.dpu{1}{3}(8) @01d r= 0
dE.dpu{1}{3}(9) @01d r= 0
dE.dpu{1}{4}(1) @01d r= 0
dE.dpu{1}{4}(10) @01d r= 0
dE.dpu{1}{4}(11) @01d r= 0
dE.dpu{1}{4}(12) @01d r= 0
dE.dpu{1}{4}(13) @01d r= 0
dE.dpu{1}{4}(14) @01d r= 0
dE.dpu{1}{4}(15) @01d r= 0
dE.dpu{1}{4}(16) @01d r= 0
dE.dpu{1}{4}(17) @01d r= 0
dE.dpu{1}{4}(18) @01d r= 0
dE.dpu{1}{4}(19) @01d f= 1.233213e-10
dE.dpu{1}{4}(19) @02d f= 1.005274e-03
dE.dpu{1}{4}(19) @03d f= 1.002582e-02
dE.dpu{1}{4}(19) @04d f= -1.009240e-04
dE.dpu{1}{4}(19) @05d f= 1.006131e-03
dE.dpu{1}{4}(19) @06d f= 1.012134e-02
dE.dpu{1}{4}(19) @07d f= -1.001459e-02
dE.dpu{1}{4}(19) @08d f= -1.000540e-02
dE.dpu{1}{4}(19) @09d f= 1.002331e-01
dE.dpu{1}{4}(19) @10d f= 1.003645e-01
dE.dpu{1}{4}(19) @11d f= 1.003645e-01
dE.dpu{1}{4}(19) @12d f= 1.003645e-01
dE.dpu{1}{4}(19) @13d f= 1.003645e-01
dE.dpu{1}{4}(19) @14d f= 1.003645e-01
dE.dpu{1}{4}(19) @15d f= 1.003645e-01
dE.dpu{1}{4}(19) @16d f= 1.003645e-01
dE.dpu{1}{4}(2) @01d r= 0
dE.dpu{1}{4}(20) @01d r= 0
dE.dpu{1}{4}(21) @01d r= 0
